"","No","H_P","D1_P","D2_P","W_m_P","W_s_P","W_a_P","L_b_P","L_v_P","W_d_P","W_ia_P","W_r_P","W_L","W_P","W_m_L","S","FE","P","W_c_P","D12_P","H_A_L"
"44",44,0.191156204857937,0.199913969,0.47370685,0.537559360121231,3.28735170723711e-14,0.462440639520448,0.062398809263875,0.568707805196771,0.0241124364422533,3.28735170723711e-14,3.28735170723711e-14,5881.801,1.02411243644225,1690.171852,0.0000401,7.9044358,1.65521905087003,1,0.273792881,3
"45",45,0.192967269082683,0.202593893,0.319277718,0.706674552427983,4.91166580858842e-14,0.293325447473783,0.198605119376472,0.571717425652775,0.0461388322493666,4.91166580858842e-14,4.91166580858842e-14,4241.817465,1.04613883224937,2636.593393,0.000244434,6.9705705,1.81646137747508,1,0.116683825,3
"46",46,0.121579953147356,0.274937124,0.428135593,0.592078064067937,4.10023468697337e-14,0.407921935927963,0.190084466402932,0.939665250891781,0.00362245413893367,4.10023468697337e-14,4.10023468697337e-14,6197.95677,1.00362245413893,1986.32664,0.000541037,7.9098708,2.13337217172066,1,0.153198469,2
"47",47,0.241293925559421,0.291988292,0.674895094,0.999999999857128,6.80341364720371e-14,6.80341364720371e-14,0.045855361848107,1.2312168408364,0.0271577814113655,6.80341364720371e-14,6.80341364720371e-14,2740.934006,1.02715778141137,2165.689175,0.000110769,11.4926708,2.30422998400743,1,0.382906802,2
"48",48,0.174514793652813,1.087305987,1.707871397,0.952471363404052,0.0475286363991854,5.96430861816841e-14,0.00458243751306614,0.202344618565502,5.96430861816841e-14,5.96430861816841e-14,5.96430861816841e-14,2408.126046,1.00000000000006,1929.890401,0.000550794,6.604490714,1.20692705622177,1,0.62056541,2
"49",49,0.217801695294231,1.127343898,2.317191742,0.919578234838218,0.0804217648245251,6.74648267504441e-14,0.0630914993831241,0.121430462159263,6.74648267504441e-14,6.74648267504441e-14,6.74648267504441e-14,3141.96456,1.00000000000007,1930.329177,0.000145641,7.7637905,1.1845219614615,1,1.189847844,2
"50",50,0.199907644793659,0.274814073,0.567391304,0.814102778244225,5.68314382762047e-14,0.161544929347225,0.0766733912541403,0.734137438089863,0.0502068755698425,5.68314382762047e-14,5.68314382762047e-14,4579.186332,1.05020687556984,1839.754884,0.0000427,6.489609,1.86101770468652,1,0.292577231,2
"51",51,0.186017658205428,0.293885143,0.60055801,1.00000000005151,5.72296460675751e-14,5.72296460675751e-14,0.146498086316857,3.88160410219662,0.0335270708089691,5.72296460675751e-14,5.72296460675751e-14,3945.773515,1.03352707080897,3154.432999,0.000474107,7.316898,5.06162925949413,1,0.306672867,2
"52",52,0.112082316807515,0.640029326,1.30075629,0.999999999654081,5.76531656188417e-14,5.76531656188417e-14,0.194820425925472,2.08452870061687,0.0713050693703944,5.76531656188417e-14,5.76531656188417e-14,4712.246269,1.07130506937039,3344.109403,0.000873285,7.3308872,3.35065419591274,1,0.660726964,1
"53",53,0.243271414793589,0.765492843,1.673105075,0.992611955192463,5.65540902190987e-14,0.00738804505643145,0.00628140720796461,0.650169339742718,5.65540902190987e-14,5.65540902190987e-14,5.65540902190987e-14,2139.976908,1.00000000000006,1978.65979,0.000230491,8.062655333,1.6564507471204,1,0.907612232,3
"54",54,0.17279342926666,0.456555546,1.80916972,1.00000000000006,6.07213391852881e-14,6.07213391852881e-14,0.0159764712497988,0.622771054515821,6.07213391852881e-14,6.07213391852881e-14,0.00629294582368865,2009.411836,1.00000000000006,2009.411836,0.00014134,7.532436,1.64504047146793,1,1.352614174,1
"55",55,0.305155110477014,0.449838932,0.967326277,0.689946376959411,5.78319455272241e-14,0.305349904199838,0.0282381021722573,0.38425976973651,5.78319455272241e-14,0.00470371887550792,0.00662163724109268,3551.691025,1.00000000000006,1973.120694,0.0000535,8.5838574,1.41911950906895,1,0.517487345,3
"56",56,0.239059633771938,0.59420758,1.569444444,0.790472170069816,5.89602856787663e-14,0.209527829694402,0.101830141123142,1.14567126987174,5.89602856787663e-14,5.89602856787663e-14,5.89602856787663e-14,4285.34427,1.00000000000006,2040.381176,0.000393576,6.29521875,2.24750141064118,1,0.975236864,3
"57",57,0.277404645623449,1.277134814,2.477885518,1.00000000000006,6.14457360658404e-14,6.14457360658404e-14,0.0141069948899959,0.213310279368355,6.14457360658404e-14,6.14457360658404e-14,0.0183422170892405,2516.058788,1.00000000000006,2516.058788,0.000469561,7.1668315,1.24575949165488,1,1.200750704,3
"58",58,0.177703061673688,0.537835926,1.246615478,0.838785162461282,6.50445881529933e-14,0.161214837538783,0.16502628837848,0.302570772087756,6.50445881529933e-14,6.50445881529933e-14,6.50445881529933e-14,4008.399124,1.00000000000007,2157.187009,0.000336641,7.4647455,1.4675970604663,1,0.708779552,1
"59",59,0.150987398778543,0.489890886,1.239890886,0.993408327026868,6.44165330927625e-14,0.00282048027843668,6.44165330927625e-14,0.126493235530973,6.44165330927625e-14,0.0037711924757431,6.44165330927625e-14,2272.523944,1.00000000000006,2052.155109,0.000135288,6.013445,1.12649323546662,1,0.75,1
"60",60,0.249215617726482,0.425647421,0.963098819,1.00000000000009,8.56231529560818e-14,8.56231529560818e-14,0.0888099332584295,8.56231529560818e-14,8.56231529560818e-14,8.56231529560818e-14,8.56231529560818e-14,2046.484814,1.00000000000009,2046.484814,0.0000668,6.32006725,1.0888099328304,1,0.537451398,1
"61",61,0.207316645754065,0.735976536,1.547373383,0.991277641566437,7.07472100013581e-14,7.07472100013581e-14,0.121648288491782,0.0768431058551038,7.07472100013581e-14,7.07472100013581e-14,7.07472100013581e-14,2283.297513,1.00000000000007,2089.949355,0.000271644,7.394952286,1.19849139399322,1,0.811396847,2
"62",62,0.184656089451272,1.347662338,3.053961039,0.820489077775024,5.00297312434331e-14,0.179510921974877,0.0391999694596527,0.300561805965289,5.00297312434331e-14,5.00297312434331e-14,5.00297312434331e-14,3643.773431,1.00000000000005,1847.43939,0.000464761,7.471843333,1.33976177523988,1,1.706298701,2
"63",63,0.225729702800997,0.500178571,1.140892857,0.982747651568062,7.76886973019379e-14,0.0172523485796242,0.0559748794032374,1.05284696022963,7.76886973019379e-14,7.76886973019379e-14,7.76886973019379e-14,2481.88669,1.00000000000008,2142.030691,0.000116522,7.695834,2.10882183910467,1,0.640714286,1
"64",64,0.229701044834651,0.39516855,0.931209609,1.00000000000007,7.29510350391389e-14,7.29510350391389e-14,0.0359703254740364,0.613189523717838,7.29510350391389e-14,7.29510350391389e-14,7.29510350391389e-14,2131.093082,1.00000000000007,2131.093082,0.000176576,7.7218165,1.64915984882719,1,0.536041059,2
"65",65,0.21602308364317,0.580873219,1.016898064,0.829806551818841,6.16671194523561e-14,0.170193448551224,0.0414178281856212,0.627690693749983,6.16671194523561e-14,6.16671194523561e-14,6.16671194523561e-14,3740.589997,1.00000000000006,1869.312029,0.0000619,7.452449333,1.669108522207,1,0.436024845,2
"66",66,0.257334644503151,0.768697331,1.596759631,0.831768294719979,5.70739683666581e-14,0.162778533522901,0.0740064455194705,1.76805533212281,0.045694432582462,0.00545317162584916,5.70739683666581e-14,5386.649498,1.04569443258246,2226.889634,0.000803279,7.12820875,2.88775621028182,1,0.8280623,3
"67",67,0.132713278831215,0.925694897,2.389347774,0.997874192334238,5.92005016335088e-14,0.00212580755920063,0.0308558400812289,1.14127763590661,0.0256937358702281,5.92005016335088e-14,5.92005016335088e-14,2506.962375,1.02569373587023,2108.600763,0.000464062,6.540373,2.19782721195279,1,1.463652877,1
"68",68,0.236808389243991,1.065287264,2.733427079,1.00000000000005,5.46137674714852e-14,5.46137674714852e-14,0.0163330088987922,0.140345436732358,5.46137674714852e-14,5.46137674714852e-14,5.46137674714852e-14,2355.705968,1.00000000000005,2355.705968,0.000342878,8.2064166,1.15667844575682,1,1.668139815,3
"69",69,0.231762636696996,0.879970091,1.576860486,0.848449920228983,4.54168674126288e-14,0.151550079448557,0.0598989865709322,0.661214166870403,0.00914693479267985,4.54168674126288e-14,4.54168674126288e-14,5606.922349,1.00914693479268,4002.915202,0.000673008,8.2501038,1.73026008782526,1,0.696890395,3
"70",70,0.118419993403308,0.847785059,1.462883355,0.941394334862549,4.92583524046018e-14,0.0586056651375008,0.0258380701355429,1.0664250064377,4.92583524046018e-14,4.92583524046018e-14,4.92583524046018e-14,2900.744595,1.00000000000005,2137.437324,0.000490347,5.4735885,2.09226307619893,1,0.615098296,1
"71",71,0.255088964862603,0.404494382,1.179645635,1.00000000000006,6.28724722436936e-14,6.28724722436936e-14,0.00914721276271006,0.0247139225619894,6.28724722436936e-14,6.28724722436936e-14,6.28724722436936e-14,2016.983598,1.00000000000006,2016.983598,0.0000891,5.608059167,1.03386113558254,1,0.775151253,3
"72",72,0.261277617114896,0.554090532,1.40625,1.00000000000006,6.24288627790836e-14,6.24288627790836e-14,0.00271199553268065,0.0723217801863955,6.24288627790836e-14,6.24288627790836e-14,6.24288627790836e-14,2064.614125,1.00000000000006,2064.614125,0.000110023,7.7793892,1.07503377582527,1,0.852159468,3
"73",73,0.25513663840236,0.909917807,1.568099542,0.86379652047086,0.116522126963845,0.0196813523924676,0.11768365655937,0.801287146310199,5.08466972190734e-14,5.08466972190734e-14,5.08466972190734e-14,4125.678298,1.00000000000005,2798.382836,0.000797315,7.138229333,1.91897080246285,1,0.658181735,3
"74",74,0.294419902837836,0.396174334,0.859467312,0.909128622008512,0.0529412085839146,0.0379301696040793,0.124119663291135,1.02027820987501,0.00517429242975259,6.77608177446667e-14,6.77608177446667e-14,3453.29611,1.00517429242975,1829.008301,0.000196399,6.79200525,2.1495721652571,1,0.463292978,3
"75",75,0.200118051315686,0.556406182,1.290047667,0.97418623538011,6.19867786568713e-14,0.0258137643471485,0.12257409848645,1.04487450355058,0.00296031517163227,6.19867786568713e-14,6.19867786568713e-14,3077.810265,1.00296031517163,2289.032708,0.00032533,7.435515167,2.17040891727065,1,0.733641485,2
"76",76,0.255464861441689,0.688517442,1.574781977,0.962892542101496,5.28556549327053e-14,0.0371074579038424,0.0138330926665614,0.357183443135249,5.28556549327053e-14,5.28556549327053e-14,5.28556549327053e-14,2981.085195,1.00000000000005,2241.604626,0.000156211,7.696681333,1.37101653607671,1,0.886264535,3
"77",77,0.222669352430074,0.93949273,1.728006036,0.99568080510795,4.33737979060364e-14,0.00431919490510569,0.0298194191910158,0.864705292392785,4.33737979060364e-14,4.33737979060364e-14,4.33737979060364e-14,5154.0881,1.00000000000004,5024.410446,0.000672296,6.748102625,1.89452471165758,1,0.788513306,3
"78",78,0.188071519448136,0.750391061,1.442122905,1.00000000000005,5.19346926993696e-14,5.19346926993696e-14,0.0573963657060793,0.500115820752713,5.19346926993696e-14,5.19346926993696e-14,5.19346926993696e-14,4383.171596,1.00000000000005,4383.171596,0.000620568,7.248832167,1.55751218656271,1,0.691731844,2
"79",79,0.162390062070077,0.588913702,2.524427177,1.00000000000006,5.81406270148396e-14,5.81406270148396e-14,5.81406270148396e-14,5.81406270148396e-14,5.81406270148396e-14,5.81406270148396e-14,5.81406270148396e-14,2045.013212,1.00000000000006,2045.013212,0.0000854,7.00563875,1.00000000000006,1,1.935513475,1
"80",80,0.264579001191786,0.380986753,0.839164402,0.895948020561133,6.64447868325262e-14,0.0795364230491302,0.103088037341701,0.636537329372833,0.00245106838606291,6.64447868325262e-14,6.64447868325262e-14,3091.946735,1.00245106838606,1903.333314,0.0000805,6.2234158,1.74207643496771,1,0.458177649,3
"81",81,0.139339506993391,0.746948384,1.239740758,0.69831082080214,6.11922343701287e-14,0.0788787287954653,0.170132928625039,1.24430680638354,6.11922343701287e-14,6.11922343701287e-14,6.11922343701287e-14,4049.389823,1.00000000000006,2146.4718,0.000386941,6.536755,2.41443973531461,1,0.492792374,1
"82",82,0.238482304135791,0.661936489,1.508047071,1.00000000000009,9.07771332245353e-14,9.07771332245353e-14,0.053268643690297,0.920932275457496,9.07771332245353e-14,9.07771332245353e-14,9.07771332245353e-14,2139.286526,1.00000000000009,2139.286526,0.000539052,5.52821125,1.97420091905711,1,0.846110582,1
"83",83,0.265518307441596,0.388317757,1.248957584,0.971550582387571,8.13293461198552e-14,0.0176177831556876,0.0263392958788586,0.675884102165153,8.13293461198552e-14,0.01083163464388,8.13293461198552e-14,2550.352486,1.00000000000008,1990.254417,0.000393701,5.74729125,1.70222339809289,1,0.860639827,2
"84",84,0.432266707111071,0.680028235,1.542803076,0.990027927567831,7.15641797407246e-14,0.00997207208866048,0.0242478108907245,1.06763156587807,0.00392018440984913,7.15641797407246e-14,7.15641797407246e-14,2698.323108,1.00392018440985,2401.028143,0.000382913,6.381296,2.09579956077788,1,0.862774841,3
"85",85,0.338823099496913,0.626155462,1.582720588,0.889038742094484,6.22414495631313e-14,0.110961257905578,0.00318108988047126,0.33779884853893,6.22414495631313e-14,6.22414495631313e-14,6.22414495631313e-14,2595.037693,1.00000000000006,1864.443062,0.000112721,6.6789305,1.34097993856884,1,0.956565126,3
"86",86,0.182445698097862,0.296107003,1.020878643,0.783728080390352,6.05235725888116e-14,0.216271919549185,6.05235725888116e-14,1.10024904076242,6.05235725888116e-14,6.05235725888116e-14,6.05235725888116e-14,4603.907328,1.00000000000006,2069.532474,0.000176044,7.557555,2.10024904076248,1,0.72477164,2
"87",87,0.290011095169187,0.40472664,1.276965677,0.95513065970802,6.29684894827206e-14,0.0448693404934792,0.00616270213135101,0.847758961965917,0.00504939760132352,6.29684894827206e-14,6.29684894827206e-14,3558.315817,1.00504939760132,1981.567775,0.000369706,7.779141,1.85897106233457,1,0.872239037,3
"88",88,0.25865507969245,0.295438725,1.078769005,0.963008069660336,7.10879877115763e-14,0.0369919301406883,0.00896300554319382,0.583931069723273,7.10879877115763e-14,7.10879877115763e-14,7.10879877115763e-14,2410.069133,1.00000000000007,1916.6235,0.000152631,9.0036265,1.59289407545848,1,0.78333028,2
"89",89,0.253008822688129,0.795214473,2.123198132,1.00000000000007,6.51932080255594e-14,6.51932080255594e-14,0.00241722272344225,0.624010163764597,6.51932080255594e-14,6.51932080255594e-14,6.51932080255594e-14,3469.360111,1.00000000000007,3469.360111,0.000224879,9.243844,1.6264273863838,1,1.327983659,3
"90",90,0.260089647532239,0.523954156,1.290831289,1.00000000000007,6.89553225060616e-14,6.89553225060616e-14,6.89553225060616e-14,0.206425773150673,6.89553225060616e-14,6.89553225060616e-14,6.89553225060616e-14,2475.602783,1.00000000000007,2475.602783,0.00019759,9.76891,1.2064257725991,1,0.766877133,3
