"","No","H_A","D1_A","D2_A","D1_P","D2_P","W_m_A","W_s_A","W_a_A","L_b_A","L_v_A","W_d_A","W_ia_A","W_r_A","W_L","W_A","W_m_L","S","FE","A","W_c_A","D12_P","H_A_L"
"25",25,59232.07316,54774,96741,0.293905541,0.519091465,171448.7374,0.00000001,107691.6776,13969.68308,128684.8587,0.00000001,0.00000001,0.00000001,5527.47971,279140.415,2104.105765,0.000079,7.397607333,421794.9568,279140.41499999,0.225185924,3
"26",26,37297.69702,35442,66258,0.223439667,0.417715294,146470.3309,0.00000001,9094.027315,28029.2901,76787.73022,2117.643145,0.00000001,0.00000001,2893.994632,157682.0014,1970.208645,0.0000701,8.1838415,262499.0217,155564.358255,0.194275627,2
"27",27,27374.2325,60255,116784,0.490556053,0.950777497,149236.2017,0.00000001,38669.21316,31767.82013,160738.7502,6942.663337,0.00000001,0.00000001,4944.107955,194848.0782,1850.457321,0.00038868,8.689857167,387354.6487,187905.414863,0.460221444,1
"28",28,39654.69301,74988,147276,0.454417646,0.89247364,180787.4191,0.00000001,75395.41139,12803.48556,482336.0974,4185.470848,0.00000001,0.00000001,4778.533098,260368.3014,2183.832902,0.000275475,10.2432085,755507.8843,256182.830552,0.438055994,3
"29",29,36900.58845,86139,161892,0.623721082,1.172238514,172612.9395,0.00000001,66242.49663,28375.94867,174330.2169,339.304304,0.00000001,0.00000001,5456.112427,239194.7404,1941.222521,0.00108648,7.752864167,441900.906,238855.436096,0.548517432,2
"30",30,31482.01451,95733,140688,0.614050954,0.902401478,180799.1085,0.00000001,46247.6795,13919.66223,479875.7135,7711.508901,0.00000001,0.00000001,4924.465715,234758.2969,2024.91183,0.000580139,8.109455429,728557.6667,227046.787999,0.288350524,2
"31",31,34859.88403,41643,97785,0.286300635,0.67228364,171257.6316,0.00000001,0.00000001,2126.460733,292485.673,95285.26135,0.00000001,0.00000001,6180.031325,266542.8929,2029.373231,0.000235459,8.184205167,561155.0267,171257.63155,0.385983005,2
"32",32,32900.49104,30699,82557,0.272739388,0.73346186,144332.2175,0.00000001,0.00000001,15764.93546,279103.0429,7692.408094,7009.817023,0.00000001,3107.495783,159034.4426,2074.425191,0.000174616,8.7377115,453902.4211,151342.034506,0.460722472,2
"33",33,40409.16927,31293,105939,0.65444621,2.215555463,166536.6319,0.00000001,0.00000001,1815.706059,114244.8207,0.00000001,32861.47335,0.00000001,3341.691851,199398.1053,1984.782652,0.000149084,9.883402167,315458.6321,199398.10529999,1.561109253,3
"34",34,40585.07205,110862,191547,2.001697241,3.458525928,214455.262,0.00000001,2698.370492,11239.61126,74518.35311,0.00000001,0.00000001,18034.1018,3265.183805,217153.6325,2860.882067,0.00068954,6.832223333,320945.6989,217153.63249999,1.456828687,3
